crop,category,ece_threshold_dsm,slope_pct_per_dsm,ecw_threshold_dsm,nagpur_relevance,in_fao29_table4
Barley,Moderately tolerant,8.0,5.0,5.3,low,yes
Sugarbeets,Moderately tolerant,7.0,8.7,4.7,low,yes
Cotton,Moderately tolerant,7.7,5.2,5.1,high,yes
Safflower,Moderately tolerant,8.0,5.0,5.3,low,yes
Wheat,Moderately tolerant,6.0,7.1,4.0,medium,yes
Sorghum,Moderately tolerant,6.8,4.0,4.5,medium,yes
Soybean,Moderately sensitive,5.0,6.3,3.3,medium,yes
Rice (paddy),Moderately sensitive,3.0,12.0,2.0,medium,yes
Corn (maize),Moderately sensitive,4.0,12.0,2.7,medium,yes
Sesbania,Moderately sensitive,2.6,7.0,1.7,low,yes
Broadbean,Moderately sensitive,1.6,9.0,1.1,low,yes
Flax,Moderately sensitive,1.7,12.0,1.1,low,yes
Beans (field),Sensitive,1.0,19.0,0.7,low,yes
Orange (santra / sweet orange),Moderately sensitive,1.5,15.0,1.0,high,yes
Lemon,Moderately sensitive,1.5,15.0,1.0,high,yes
Mango,Moderately sensitive,2.0,12.0,1.3,high,yes
Banana,Moderately sensitive,1.2,16.0,0.8,medium,yes
Grapes,Moderately sensitive,1.5,12.0,1.0,medium,yes
Tomato,Moderately sensitive,2.5,9.0,1.7,medium,yes
Potato,Moderately sensitive,1.7,12.0,1.1,medium,yes
Onion,Moderately sensitive,1.2,7.0,0.8,medium,yes
Cabbage,Moderately sensitive,1.8,9.0,1.2,medium,yes
Cauliflower,Moderately sensitive,2.0,7.0,1.3,medium,yes
Chilli,Moderately sensitive,1.5,14.0,1.0,high,yes
Tur (pigeon pea),Moderately tolerant,4.0,8.0,2.7,high,yes
Moong (green gram),Moderately sensitive,1.8,7.0,1.2,medium,yes
Urad (black gram),Moderately sensitive,2.0,6.0,1.3,medium,yes
Groundnut,Moderately sensitive,3.2,29.0,2.1,high,yes
Sugarcane,Moderately tolerant,5.9,5.9,3.9,medium,yes
Sunflower,Moderately tolerant,4.0,5.0,2.7,medium,yes
Mustard,Moderately sensitive,2.0,11.0,1.3,medium,yes
Soybean (rainfed),Moderately sensitive,5.0,6.3,3.3,medium,yes
